"gene_id","gene_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_id","is_significant","tes_bound","tead1_bound"
"ENSG00000060718.22","COL11A1",2984.65620827564,-5.97911231595359,0.148147908922851,-40.359073303338,0,0,"ENSG00000060718",TRUE,TRUE,TRUE
"ENSG00000115461.5","IGFBP5",11030.6435420683,-5.72505377078695,0.118406107117238,-48.3510007226095,0,0,"ENSG00000115461",TRUE,FALSE,TRUE
"ENSG00000137801.11","THBS1",12319.4478488787,-5.16471413946792,0.118067088252013,-43.7438935433376,0,0,"ENSG00000137801",TRUE,TRUE,TRUE
"ENSG00000114019.15","AMOTL2",1987.73336740855,-5.97202541163863,0.160017239929839,-37.3211374865428,7.45387365996595e-305,6.32982951204309e-301,"ENSG00000114019",TRUE,TRUE,TRUE
"ENSG00000162733.19","DDR2",3045.79964205334,-4.52405488046812,0.12482573426013,-36.2429663024471,1.28251366932121e-287,8.7128848639006e-284,"ENSG00000162733",TRUE,TRUE,TRUE
"ENSG00000109265.15","CRACD",2486.1470341759,6.78155916745644,0.190691297123144,35.5630239542451,5.22705201005406e-277,2.53646432396452e-273,"ENSG00000109265",TRUE,TRUE,TRUE
"ENSG00000154678.18","PDE1C",3988.73035117867,-4.11908970201714,0.116754580291097,-35.2798981568626,1.19438546796171e-272,5.07136069696543e-269,"ENSG00000154678",TRUE,TRUE,TRUE
"ENSG00000238133.6","MAP3K20-AS1",1836.8550741723,6.40970596378398,0.18608744811654,34.4445905871621,5.42614755573486e-260,2.04794866859113e-256,"ENSG00000238133",TRUE,TRUE,TRUE
"ENSG00000118523.6","CCN2",1797.3708667729,-7.80301925281702,0.237455171163943,-32.8610205226051,7.92743637408812e-237,2.69279158755025e-233,"ENSG00000118523",TRUE,TRUE,TRUE
"ENSG00000259207.10","ITGB3",1536.58926328561,-4.24773261828121,0.130120324597604,-32.6446512596499,9.54364293345654e-234,2.94707693785138e-230,"ENSG00000259207",TRUE,TRUE,TRUE
"ENSG00000173334.4","TRIB1",4585.7084484741,4.18235692516317,0.128381506062873,32.577565518782,8.5256889843333e-233,2.22769694938333e-229,"ENSG00000173334",TRUE,TRUE,TRUE
"ENSG00000178031.18","ADAMTSL1",1694.14119238008,-4.24994949902985,0.136026657733419,-31.2435045442252,2.73545321157551e-214,6.19452497938647e-211,"ENSG00000178031",TRUE,TRUE,TRUE
"ENSG00000137962.13","ARHGAP29",5075.83310035065,-3.59028908769471,0.116589088221948,-30.7943834405837,3.11583810374135e-208,6.61492429424289e-205,"ENSG00000137962",TRUE,TRUE,TRUE
"ENSG00000061337.16","LZTS1",5424.09664707818,4.51747041021942,0.147552957298541,30.6159259219679,7.51344003842424e-206,1.34324490118523e-202,"ENSG00000061337",TRUE,TRUE,TRUE
"ENSG00000154175.19","ABI3BP",2458.25911607693,-3.92593960471013,0.128906829180915,-30.4556370648156,1.00875983233321e-203,1.71327769923472e-200,"ENSG00000154175",TRUE,TRUE,TRUE
