"gene_id","gene_symbol","log2FoldChange","padj","tes_bound","tead1_bound","regulatory_class"
"ENSG00000060718","COL11A1",-5.97911231595359,0,TRUE,TRUE,"TES_TEAD1_shared"
"ENSG00000115461","IGFBP5",-5.72505377078695,0,FALSE,TRUE,"TEAD1_direct"
"ENSG00000137801","THBS1",-5.16471413946792,0,TRUE,TRUE,"TES_TEAD1_shared"
"ENSG00000114019","AMOTL2",-5.97202541163863,6.32982951204309e-301,TRUE,TRUE,"TES_TEAD1_shared"
"ENSG00000162733","DDR2",-4.52405488046812,8.7128848639006e-284,TRUE,TRUE,"TES_TEAD1_shared"
"ENSG00000177706","FAM20C",-4.47662121276052,3.12666490623655e-277,FALSE,FALSE,"Indirect"
"ENSG00000109265","CRACD",6.78155916745644,2.53646432396452e-273,TRUE,TRUE,"TES_TEAD1_shared"
"ENSG00000154678","PDE1C",-4.11908970201714,5.07136069696543e-269,TRUE,TRUE,"TES_TEAD1_shared"
"ENSG00000238133","MAP3K20-AS1",6.40970596378398,2.04794866859113e-256,TRUE,TRUE,"TES_TEAD1_shared"
"ENSG00000118523","CCN2",-7.80301925281702,2.69279158755025e-233,TRUE,TRUE,"TES_TEAD1_shared"
"ENSG00000259207","ITGB3",-4.24773261828121,2.94707693785138e-230,TRUE,TRUE,"TES_TEAD1_shared"
"ENSG00000184939","ZFP90",3.99125015757697,1.64392941866682e-229,TRUE,FALSE,"TES_direct"
"ENSG00000173334","TRIB1",4.18235692516317,2.22769694938333e-229,TRUE,TRUE,"TES_TEAD1_shared"
"ENSG00000241743",NA,5.92448053916017,7.55292852469539e-212,FALSE,FALSE,"Indirect"
"ENSG00000178031","ADAMTSL1",-4.24994949902985,6.19452497938647e-211,TRUE,TRUE,"TES_TEAD1_shared"
"ENSG00000137962","ARHGAP29",-3.59028908769471,6.61492429424289e-205,TRUE,TRUE,"TES_TEAD1_shared"
"ENSG00000136842","TMOD1",5.24220947535354,1.10011356459413e-204,FALSE,FALSE,"Indirect"
"ENSG00000287080","H3C3",-5.79750108530536,1.78143213479321e-204,TRUE,FALSE,"TES_direct"
"ENSG00000061337","LZTS1",4.51747041021942,1.34324490118523e-202,TRUE,TRUE,"TES_TEAD1_shared"
"ENSG00000154175","ABI3BP",-3.92593960471013,1.71327769923472e-200,TRUE,TRUE,"TES_TEAD1_shared"
"ENSG00000186417","GLDN",-4.12653644841925,2.32003216162517e-197,TRUE,TRUE,"TES_TEAD1_shared"
"ENSG00000038427","VCAN",-3.3430689830481,8.25270594826487e-197,TRUE,TRUE,"TES_TEAD1_shared"
"ENSG00000140937","CDH11",-3.51266605280108,1.84652099612702e-194,TRUE,TRUE,"TES_TEAD1_shared"
"ENSG00000101871","MID1",-4.14934057568253,2.46833474791903e-192,TRUE,TRUE,"TES_TEAD1_shared"
"ENSG00000197702","PARVA",-5.13370211651562,8.32659477609049e-191,TRUE,TRUE,"TES_TEAD1_shared"
"ENSG00000162496","DHRS3",-3.40999963743536,1.85849980385949e-190,TRUE,TRUE,"TES_TEAD1_shared"
"ENSG00000268756",NA,6.13323220618358,9.43545547764967e-186,FALSE,FALSE,"Indirect"
"ENSG00000206579","XKR4",-4.14719861683479,9.10686780262435e-185,TRUE,TRUE,"TES_TEAD1_shared"
"ENSG00000148773","MKI67",-3.56563641263512,2.04598784898814e-184,FALSE,TRUE,"TEAD1_direct"
"ENSG00000142871","CCN1",-7.58217516754692,2.48648936860275e-184,TRUE,TRUE,"TES_TEAD1_shared"
"ENSG00000171346","KRT15",5.24045776785518,5.49904378950062e-184,FALSE,TRUE,"TEAD1_direct"
"ENSG00000189060","H1-0",-5.2924138910207,1.15070947715149e-181,FALSE,FALSE,"Indirect"
"ENSG00000131095","GFAP",-4.28369053416857,9.31611435743192e-178,FALSE,TRUE,"TEAD1_direct"
"ENSG00000149212","SESN3",-3.09524265977286,3.65278140480587e-176,FALSE,FALSE,"Indirect"
"ENSG00000163235","TGFA",-4.23680464976558,1.58367137208068e-175,TRUE,TRUE,"TES_TEAD1_shared"
"ENSG00000139793","MBNL2",-4.87160817326055,1.59855851212008e-174,TRUE,TRUE,"TES_TEAD1_shared"
"ENSG00000237596","PDE7B-AS1",5.17808543063031,1.45156261428447e-173,FALSE,FALSE,"Indirect"
"ENSG00000286522","H3C2",-5.57053096080474,1.62855572042858e-172,FALSE,TRUE,"TEAD1_direct"
"ENSG00000108551","RASD1",4.81697662280081,2.108152077144e-169,TRUE,FALSE,"TES_direct"
"ENSG00000115159","GPD2",-3.49139828918591,2.36239889395986e-167,TRUE,TRUE,"TES_TEAD1_shared"
"ENSG00000143375","CGN",4.3008526642617,6.77607040785075e-165,TRUE,TRUE,"TES_TEAD1_shared"
"ENSG00000277775","H3C7",-5.76368060282546,1.04609241485323e-163,FALSE,FALSE,"Indirect"
"ENSG00000105855","ITGB8",-3.13290375568598,1.00113019720093e-161,TRUE,TRUE,"TES_TEAD1_shared"
"ENSG00000228709",NA,6.86647964189559,8.92705258091247e-161,FALSE,FALSE,"Indirect"
"ENSG00000124575","H1-3",-4.81737973884202,1.2533182324447e-159,FALSE,FALSE,"Indirect"
"ENSG00000184357","H1-5",-5.28724390216576,4.77339331365035e-157,FALSE,FALSE,"Indirect"
"ENSG00000137558","PI15",-5.02825208694987,2.88158215354081e-156,TRUE,TRUE,"TES_TEAD1_shared"
"ENSG00000132470","ITGB4",-3.63919859917277,3.70200440361704e-156,FALSE,TRUE,"TEAD1_direct"
"ENSG00000276966","H4C5",-5.26540098100793,2.87660124114881e-155,FALSE,FALSE,"Indirect"
"ENSG00000167306","MYO5B",3.27433986215417,6.39287013859235e-154,TRUE,TRUE,"TES_TEAD1_shared"
"ENSG00000153071","DAB2",-4.75916780426494,3.62467344947086e-153,TRUE,TRUE,"TES_TEAD1_shared"
"ENSG00000064042","LIMCH1",-3.1060039256628,3.32694622750626e-149,TRUE,TRUE,"TES_TEAD1_shared"
"ENSG00000122786","CALD1",-3.27393621064106,4.13596506392006e-149,TRUE,TRUE,"TES_TEAD1_shared"
"ENSG00000044524","EPHA3",-3.15926590086563,1.5599374742183e-148,TRUE,FALSE,"TES_direct"
"ENSG00000103888","CEMIP",3.59678092005062,9.18507261809501e-147,TRUE,TRUE,"TES_TEAD1_shared"
"ENSG00000186185","KIF18B",-3.90802466545713,1.64805044390016e-145,TRUE,TRUE,"TES_TEAD1_shared"
"ENSG00000114480","GBE1",-3.74262091969869,2.92866199019792e-145,TRUE,FALSE,"TES_direct"
"ENSG00000185339","TCN2",4.08153112262731,1.28875270232556e-144,FALSE,FALSE,"Indirect"
"ENSG00000133106","EPSTI1",-3.75459301799046,3.19863847378109e-144,TRUE,TRUE,"TES_TEAD1_shared"
"ENSG00000159176","CSRP1",-3.5783599435882,1.06001716671297e-142,FALSE,TRUE,"TEAD1_direct"
"ENSG00000164509","IL31RA",7.84607321571159,1.73338031361554e-141,FALSE,FALSE,"Indirect"
"ENSG00000188039","NWD1",-4.79224725861118,4.00157915885254e-141,FALSE,TRUE,"TEAD1_direct"
"ENSG00000131203","IDO1",5.22057161252584,2.50928083837118e-140,FALSE,TRUE,"TEAD1_direct"
"ENSG00000128564","VGF",5.49694663871607,2.33663783729252e-139,FALSE,FALSE,"Indirect"
"ENSG00000273983","H3C8",-4.85005590861412,8.97555602592245e-137,FALSE,FALSE,"Indirect"
"ENSG00000146250","PRSS35",-5.51440540427932,2.11747246157523e-135,TRUE,TRUE,"TES_TEAD1_shared"
"ENSG00000047188","YTHDC2",-3.49153892902339,7.52414506843815e-132,FALSE,FALSE,"Indirect"
"ENSG00000075223","SEMA3C",-3.33817481768924,1.24805669539075e-129,TRUE,TRUE,"TES_TEAD1_shared"
"ENSG00000180891","CUEDC1",-3.10594017008297,2.44172450243627e-129,TRUE,TRUE,"TES_TEAD1_shared"
"ENSG00000183856","IQGAP3",-3.90097834481103,5.83149990933152e-128,FALSE,FALSE,"Indirect"
"ENSG00000105974","CAV1",-4.05488094375317,1.30942435146464e-127,TRUE,TRUE,"TES_TEAD1_shared"
"ENSG00000150347","ARID5B",-2.83706279395299,1.30942435146464e-127,TRUE,TRUE,"TES_TEAD1_shared"
"ENSG00000124126","PREX1",3.08819278118391,1.45257312329726e-127,TRUE,TRUE,"TES_TEAD1_shared"
"ENSG00000182168","UNC5C",-3.14050847859916,1.84459044230968e-127,TRUE,TRUE,"TES_TEAD1_shared"
"ENSG00000129474","AJUBA",-3.30499069168193,2.31864857416459e-125,FALSE,TRUE,"TEAD1_direct"
"ENSG00000197061","H4C3",-4.23533017079027,1.7097890022401e-124,FALSE,FALSE,"Indirect"
"ENSG00000267475",NA,5.71325571239825,4.12185123390712e-123,FALSE,FALSE,"Indirect"
"ENSG00000135074","ADAM19",-2.86396387233607,8.26956066572313e-123,TRUE,TRUE,"TES_TEAD1_shared"
